AUTOGRAD PROFILER - CPU

-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls                                                                      Input Shapes  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  
                                aten::cudnn_convolution         6.96%        1.238s         6.98%        1.241s     124.130ms       2.015ms         1.28%       2.015ms     201.486us           0 B           0 B      50.00 KB      50.00 KB            10                    [[1, 128, 6, 6], [128, 128, 3, 3], [], [], [], [], [], [], []]  
                                aten::cudnn_convolution         6.95%        1.237s         7.00%        1.245s     124.550ms       3.150ms         2.00%      46.987ms       4.699ms           0 B           0 B       3.12 MB       3.12 MB            10                  [[1, 128, 34, 34], [128, 128, 3, 3], [], [], [], [], [], [], []]  
                                aten::cudnn_convolution         6.95%        1.236s         6.97%        1.240s     124.041ms       2.125ms         1.35%       2.125ms     212.541us           0 B           0 B     800.00 KB     800.00 KB            10                  [[1, 128, 18, 18], [128, 128, 3, 3], [], [], [], [], [], [], []]  
                                aten::cudnn_convolution         6.93%        1.233s         6.95%        1.237s     123.661ms       2.018ms         1.28%       2.018ms     201.794us           0 B           0 B     200.00 KB     200.00 KB            10                  [[1, 128, 10, 10], [128, 128, 3, 3], [], [], [], [], [], [], []]  
                                aten::cudnn_convolution         4.44%     790.989ms         4.84%     861.833ms     172.367ms     329.733us         0.21%      12.523ms       2.505ms           0 B           0 B     320.00 KB     320.00 KB             5                        [[1, 3, 64, 64], [4, 3, 1, 1], [], [], [], [], [], [], []]  
                                aten::cudnn_convolution         3.78%     671.883ms         3.93%     699.533ms     139.907ms     982.092us         0.62%       6.525ms       1.305ms           0 B           0 B     240.00 KB     240.00 KB             5                    [[1, 128, 64, 64], [3, 128, 1, 1], [], [], [], [], [], [], []]  
                                aten::cudnn_convolution         3.77%     670.958ms         3.78%     673.129ms     134.626ms     614.982us         0.39%       5.591ms       1.118ms           0 B           0 B       2.50 MB       2.50 MB             5                      [[1, 3, 66, 66], [128, 3, 3, 3], [], [], [], [], [], [], []]  
                                aten::cudnn_convolution         3.52%     625.527ms         3.53%     627.328ms     125.466ms       1.111ms         0.70%       1.111ms     222.198us           0 B           0 B      40.00 KB      40.00 KB             5                    [[1, 132, 6, 6], [128, 132, 3, 3], [], [], [], [], [], [], []]  
                                aten::cudnn_convolution         3.48%     619.772ms         3.49%     621.249ms     124.250ms     417.889us         0.27%       2.753ms     550.677us           0 B           0 B      80.00 KB      80.00 KB             5                    [[1, 128, 32, 32], [4, 128, 1, 1], [], [], [], [], [], [], []]  
                                aten::cudnn_convolution         3.48%     619.464ms         3.51%     623.871ms     124.774ms       2.615ms         1.66%       2.615ms     523.077us           0 B           0 B       2.50 MB       2.50 MB             5                  [[1, 132, 34, 34], [128, 132, 3, 3], [], [], [], [], [], [], []]  
                                aten::cudnn_convolution         3.48%     619.049ms         3.49%     620.746ms     124.149ms       1.010ms         0.64%       1.010ms     201.959us           0 B           0 B      10.00 KB      10.00 KB             5                    [[1, 128, 4, 4], [128, 128, 3, 3], [], [], [], [], [], [], []]  
                                aten::cudnn_convolution         3.47%     617.505ms         3.48%     618.557ms     123.711ms     307.814us         0.20%     307.814us      61.563us           0 B           0 B       2.50 KB       2.50 KB             5                      [[1, 128, 4, 4], [4, 128, 1, 1], [], [], [], [], [], [], []]  
                                aten::cudnn_convolution         3.47%     616.863ms         3.47%     618.324ms     123.665ms     349.604us         0.22%       1.999ms     399.844us           0 B           0 B      20.00 KB      20.00 KB             5                    [[1, 128, 16, 16], [4, 128, 1, 1], [], [], [], [], [], [], []]  
                                aten::cudnn_convolution         3.46%     616.574ms         3.48%     619.691ms     123.938ms       1.384ms         0.88%       1.384ms     276.892us           0 B           0 B     640.00 KB     640.00 KB             5                  [[1, 132, 18, 18], [128, 132, 3, 3], [], [], [], [], [], [], []]  
                                aten::cudnn_convolution         3.46%     616.543ms         3.53%     627.416ms     125.483ms       5.676ms         3.60%      50.729ms      10.146ms           0 B           0 B      10.00 MB      10.00 MB             5                  [[1, 132, 66, 66], [128, 132, 3, 3], [], [], [], [], [], [], []]  
                                aten::cudnn_convolution         3.46%     616.422ms         3.47%     617.494ms     123.499ms     316.520us         0.20%     613.904us     122.781us           0 B           0 B       5.00 KB       5.00 KB             5                      [[1, 128, 8, 8], [4, 128, 1, 1], [], [], [], [], [], [], []]  
                                aten::cudnn_convolution         3.46%     616.030ms         3.47%     617.868ms     123.574ms       1.146ms         0.73%       1.146ms     229.116us           0 B           0 B     160.00 KB     160.00 KB             5                  [[1, 132, 10, 10], [128, 132, 3, 3], [], [], [], [], [], [], []]  
                                aten::cudnn_convolution         3.46%     615.876ms         3.48%     618.978ms     123.796ms       1.490ms         0.95%       4.256ms     851.240us           0 B           0 B      10.12 MB      10.12 MB             5                  [[1, 128, 64, 64], [128, 128, 1, 1], [], [], [], [], [], [], []]  
                                aten::cudnn_convolution         3.46%     615.636ms         3.47%     617.940ms     123.588ms     768.515us         0.49%     768.515us     153.703us           0 B           0 B       2.50 MB       2.50 MB             5                  [[1, 128, 32, 32], [128, 128, 1, 1], [], [], [], [], [], [], []]  
                                aten::cudnn_convolution         3.46%     615.383ms         3.46%     616.479ms     123.296ms     417.728us         0.26%     417.728us      83.546us           0 B           0 B      40.00 KB      40.00 KB             5                    [[1, 128, 4, 4], [128, 128, 1, 1], [], [], [], [], [], [], []]  
                                aten::cudnn_convolution         3.46%     615.375ms         3.47%     617.318ms     123.464ms     461.001us         0.29%     897.394us     179.479us           0 B           0 B     640.00 KB     640.00 KB             5                  [[1, 128, 16, 16], [128, 128, 1, 1], [], [], [], [], [], [], []]  
                                aten::cudnn_convolution         3.46%     615.197ms         3.46%     616.311ms     123.262ms     426.465us         0.27%     426.465us      85.293us           0 B           0 B     160.00 KB     160.00 KB             5                    [[1, 128, 8, 8], [128, 128, 1, 1], [], [], [], [], [], [], []]  
                       Runtime Triggered Module Loading         2.26%     402.517ms         2.26%     402.517ms       1.973ms      72.448ms        45.96%      72.448ms     355.138us           0 B           0 B           0 B           0 B           204                                                                                []  
                                               BACKWARD         1.57%     279.094ms         2.73%     486.672ms     121.668ms       0.000us         0.00%      13.439us       3.360us         -64 B         -64 B     -56.53 MB     -56.54 MB             4                                                                                []  
                                       cudaLaunchKernel         1.30%     232.129ms         2.19%     389.112ms      32.461us       0.000us         0.00%      14.386ms       1.200us           0 B           0 B           0 B           0 B         11987                                                                                []  
                                   cudaEventSynchronize         0.22%      39.920ms         0.22%      39.920ms      52.526us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           760                                                                                []  
                                  cudaDeviceSynchronize         0.20%      36.256ms         0.20%      36.256ms      43.317us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           837                                                                                []  
                             OUTPUT_SERIALIZATION_MODEL         0.16%      28.885ms         0.20%      34.742ms      34.742ms       0.000us         0.00%     465.635us     465.635us           0 B      -8.36 MB           0 B           0 B             1                                                                                []  
                                             cudaMalloc         0.14%      24.204ms         0.14%      24.204ms     310.313us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            78                                                                                []  
cudaOccupancyMaxActiveBlocksPerMultiprocessorWithFla...         0.13%      22.608ms         0.14%      25.691ms     302.243us       0.000us         0.00%       2.136ms      25.126us           0 B           0 B           0 B           0 B            85                                                                                []  
                                            DIP_FORWARD         0.11%      19.584ms        93.45%       16.630s        4.157s       0.000us         0.00%     155.329ms      38.832ms           0 B           0 B      89.44 MB    -139.81 MB             4                                                                                []  
                                               cudaFree         0.11%      19.075ms         0.11%      19.075ms     346.820us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            55                                                                                []  
                         CUDA_EXTENSION_LOAD_OR_COMPILE         0.10%      18.129ms         0.10%      18.129ms      18.129ms       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             1                                                                                []  
                                  cudaFuncGetAttributes         0.07%      12.879ms         0.23%      41.772ms      56.678us       0.000us         0.00%      62.662ms      85.023us           0 B           0 B           0 B           0 B           737                                                                                []  
                                            aten::empty         0.07%      12.364ms         0.21%      36.731ms      17.408us       0.000us         0.00%       3.318ms       1.572us       8.55 MB       8.55 MB     120.96 MB     120.96 MB          2110                                                          [[], [], [], [], [], []]  
                                   cudaFuncSetAttribute         0.06%      10.989ms         0.13%      22.473ms      34.467us       0.000us         0.00%      27.242ms      41.782us           0 B           0 B           0 B           0 B           652                                                                                []  
                                   cudaGetSymbolAddress         0.05%       9.187ms         0.05%       9.378ms       9.378ms       0.000us         0.00%     609.674us     609.674us           0 B           0 B           0 B           0 B             1                                                                                []  
                                  Lazy Function Loading         0.04%       7.725ms         0.04%       7.725ms      43.154us      47.576ms        30.18%      47.576ms     265.789us           0 B           0 B           0 B           0 B           179                                                                                []  
                                            aten::fill_         0.04%       6.461ms         0.04%       6.461ms       3.230ms       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             2                                                                [[3, 64, 192], []]  
                                   MODEL_INITIALIZATION         0.04%       6.435ms         0.10%      17.305ms      17.305ms       0.000us         0.00%       0.000us       0.000us       8.32 MB           0 B           0 B           0 B             1                                                                                []  
                                        cudaMemcpyAsync         0.03%       6.190ms         0.03%       6.190ms      18.314us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           338                                                                                []  
                             aten::convolution_backward         0.03%       6.147ms         0.09%      16.570ms       4.142ms     578.914us         0.37%     600.353us     150.088us           0 B           0 B      42.00 KB      32.00 KB             4    [[1, 4, 4, 4], [1, 128, 4, 4], [4, 128, 1, 1], [], [], [], [], [], [], [], []]  
                                         aten::uniform_         0.03%       5.454ms         0.03%       5.454ms     605.983us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             9                                                    [[128, 128, 3, 3], [], [], []]  
                                    cudaLaunchKernelExC         0.03%       5.390ms         0.04%       7.101ms       8.200us       0.000us         0.00%       5.536ms       6.392us           0 B           0 B           0 B           0 B           866                                                                                []  
                             aten::convolution_backward         0.03%       4.808ms         0.12%      20.794ms       5.199ms       1.305ms         0.83%       1.334ms     333.501us           0 B           0 B       4.00 KB           0 B             4    [[1, 4, 64, 64], [1, 3, 64, 64], [4, 3, 1, 1], [], [], [], [], [], [], [], []]  
                             aten::convolution_backward         0.03%       4.696ms         0.20%      35.029ms       8.757ms       2.526ms         1.60%       2.555ms     638.869us           0 B           0 B       8.01 MB       8.00 MB             4  [[1, 3, 64, 64], [1, 128, 64, 64], [3, 128, 1, 1], [], [], [], [], [], [], [], [  
                                                METRICS         0.02%       4.437ms         0.03%       4.736ms       4.736ms       0.000us         0.00%      11.136us      11.136us           0 B    -144.00 KB           0 B           0 B             1                                                                                []  
                             aten::convolution_backward         0.02%       3.917ms         0.05%       8.224ms       2.056ms       1.574ms         1.00%       1.608ms     402.099us           0 B           0 B       2.25 MB       2.00 MB             4  [[1, 128, 32, 32], [1, 128, 32, 32], [128, 128, 1, 1], [], [], [], [], [], [], [  
                                Activity Buffer Request         0.02%       3.835ms         0.02%       3.835ms       1.918ms       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             2                                                                                []  
                                  DIP_FORWARD_POST_STEP         0.02%       3.784ms         0.09%      15.461ms      15.461ms       0.000us         0.00%       2.265ms       2.265ms           0 B           0 B      22.64 MB     -35.66 MB             1                                                                                []  
                                               PLOTTING         0.02%       3.779ms         0.06%      10.413ms      10.413ms       0.000us         0.00%       0.000us       0.000us           0 B    -288.00 KB           0 B           0 B             1                                                                                []  
                             aten::convolution_backward         0.02%       3.759ms         0.06%      10.124ms       2.531ms       3.744ms         2.37%       3.826ms     956.587us           0 B           0 B       8.25 MB       8.00 MB             4  [[1, 128, 64, 64], [1, 128, 64, 64], [128, 128, 1, 1], [], [], [], [], [], [], [  
                              Optimizer.step#LBFGS.step         0.02%       3.704ms        96.68%       17.205s        8.602s       0.000us         0.00%     159.644ms      79.822ms           0 B           0 B      49.70 MB     -92.02 MB             2                                                                                []  
                           OUTPUT_SERIALIZATION_METRICS         0.02%       3.642ms         0.02%       3.642ms       3.642ms       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             1                                                                                []  
                             aten::convolution_backward         0.02%       3.370ms         0.06%      10.496ms       2.624ms     940.937us         0.60%     967.660us     241.915us           0 B           0 B     770.00 KB     512.00 KB             4  [[1, 128, 16, 16], [1, 128, 16, 16], [128, 128, 1, 1], [], [], [], [], [], [], [  
                                        cudaEventRecord         0.02%       3.347ms         0.02%       3.347ms       2.165us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B          1546                                                                                []  
                                 cudaDeviceGetAttribute         0.02%       3.306ms         0.02%       3.306ms       8.912us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           371                                                                                []  
                             aten::convolution_backward         0.02%       3.279ms         0.16%      28.589ms       7.147ms      17.268ms        10.95%      17.385ms       4.346ms           0 B           0 B      11.10 MB       8.78 MB             4  [[1, 128, 64, 64], [1, 132, 66, 66], [128, 132, 3, 3], [], [], [], [], [], [], [  
                                 aten::cudnn_batch_norm         0.02%       3.210ms         0.07%      12.236ms       2.447ms      73.408us         0.05%     144.322us      28.864us           0 B           0 B      52.50 KB           0 B             5                          [[1, 132, 4, 4], [132], [132], [132], [132], [], [], []]  
                                        cudaMemsetAsync         0.02%       3.108ms         0.02%       3.108ms       4.347us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           715                                                                                []  
                             aten::convolution_backward         0.02%       3.080ms         0.08%      13.936ms       3.484ms       3.332ms         2.11%       3.369ms     842.232us           0 B           0 B       2.98 MB     670.00 KB             4  [[1, 128, 16, 16], [1, 132, 18, 18], [128, 132, 3, 3], [], [], [], [], [], [], [  
                             aten::convolution_backward         0.02%       3.065ms         0.03%       4.945ms       1.236ms     797.097us         0.51%     823.495us     205.874us           0 B           0 B     386.00 KB     128.00 KB             4  [[1, 128, 8, 8], [1, 128, 8, 8], [128, 128, 1, 1], [], [], [], [], [], [], [], [  
                             aten::convolution_backward         0.02%       3.047ms         0.03%       5.819ms       1.455ms       1.757ms         1.11%       1.790ms     447.395us           0 B           0 B       2.28 MB      32.00 KB             4  [[1, 128, 2, 2], [1, 128, 4, 4], [128, 128, 3, 3], [], [], [], [], [], [], [], [  
                                         aten::uniform_         0.02%       3.044ms         0.02%       3.044ms     608.775us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             5                                                    [[128, 132, 3, 3], [], [], []]  
                             aten::convolution_backward         0.02%       3.035ms         0.03%       4.653ms       1.163ms     748.234us         0.47%     774.249us     193.562us           0 B           0 B     290.00 KB      32.00 KB             4  [[1, 128, 4, 4], [1, 128, 4, 4], [128, 128, 1, 1], [], [], [], [], [], [], [], [  
                             aten::convolution_backward         0.02%       3.023ms         0.06%      10.495ms       2.624ms       6.464ms         4.10%       6.508ms       1.627ms           0 B           0 B       4.65 MB       2.33 MB             4  [[1, 128, 32, 32], [1, 132, 34, 34], [128, 132, 3, 3], [], [], [], [], [], [], [  
                             aten::convolution_backward         0.02%       2.993ms         0.05%       8.624ms       2.156ms       4.799ms         3.04%       4.840ms       1.210ms           0 B           0 B       4.51 MB       2.26 MB             4  [[1, 128, 32, 32], [1, 128, 34, 34], [128, 128, 3, 3], [], [], [], [], [], [], [  
                                         cudaMemGetInfo         0.02%       2.934ms         0.02%       2.934ms      38.601us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            76                                                                                []  
                             aten::convolution_backward         0.02%       2.922ms         0.03%       5.620ms       1.405ms       1.663ms         1.06%       1.695ms     423.700us           0 B           0 B       2.32 MB      72.00 KB             4  [[1, 128, 4, 4], [1, 128, 6, 6], [128, 128, 3, 3], [], [], [], [], [], [], [], [  
                             aten::convolution_backward         0.02%       2.888ms         0.04%       6.614ms       1.654ms       2.816ms         1.79%       2.851ms     712.719us           0 B           0 B       2.88 MB     648.00 KB             4  [[1, 128, 16, 16], [1, 128, 18, 18], [128, 128, 3, 3], [], [], [], [], [], [], [  
                             aten::convolution_backward         0.02%       2.852ms         0.14%      25.442ms       6.361ms       1.843ms         1.17%       1.877ms     469.276us           0 B           0 B       2.40 MB      76.00 KB             4  [[1, 128, 4, 4], [1, 132, 6, 6], [128, 132, 3, 3], [], [], [], [], [], [], [], [  
                             aten::convolution_backward         0.02%       2.834ms         0.11%      19.357ms       4.839ms       2.016ms         1.28%       2.052ms     512.892us           0 B           0 B       2.53 MB     208.00 KB             4  [[1, 128, 8, 8], [1, 132, 10, 10], [128, 132, 3, 3], [], [], [], [], [], [], [],  
                             aten::convolution_backward         0.02%       2.816ms         0.02%       4.365ms       1.091ms     632.161us         0.40%     653.760us     163.440us           0 B           0 B     522.00 KB     512.00 KB             4  [[1, 4, 16, 16], [1, 128, 16, 16], [4, 128, 1, 1], [], [], [], [], [], [], [], [  
                             aten::convolution_backward         0.02%       2.810ms         0.04%       7.584ms       1.896ms       3.387ms         2.15%       3.422ms     855.473us           0 B           0 B       4.51 MB       2.26 MB             4  [[1, 128, 16, 16], [1, 128, 34, 34], [128, 128, 3, 3], [], [], [], [], [], [], [  
                             aten::convolution_backward         0.02%       2.782ms         0.03%       4.612ms       1.153ms       1.032ms         0.65%       1.056ms     263.891us           0 B           0 B       2.01 MB       2.00 MB             4  [[1, 4, 32, 32], [1, 128, 32, 32], [4, 128, 1, 1], [], [], [], [], [], [], [], [  
                             aten::convolution_backward         0.02%       2.718ms         0.03%       5.617ms       1.404ms       1.845ms         1.17%       1.878ms     469.438us           0 B           0 B       2.45 MB     200.00 KB             4  [[1, 128, 8, 8], [1, 128, 10, 10], [128, 128, 3, 3], [], [], [], [], [], [], [],  
                             aten::convolution_backward         0.02%       2.681ms         0.02%       4.176ms       1.044ms     618.373us         0.39%     640.932us     160.233us           0 B           0 B     138.00 KB     128.00 KB             4    [[1, 4, 8, 8], [1, 128, 8, 8], [4, 128, 1, 1], [], [], [], [], [], [], [], []]  
                                    aten::empty_strided         0.01%       2.638ms         0.09%      15.568ms      41.516us       0.000us         0.00%     567.432us       1.513us       8.69 MB       8.69 MB      20.21 MB      20.21 MB           375                                                          [[], [], [], [], [], []]  
                                          aten::resize_         0.01%       2.616ms         0.06%      10.607ms      40.028us       0.000us         0.00%       1.246ms       4.703us           0 B           0 B      92.68 MB      92.68 MB           265                                                                     [[0], [], []]  
                             aten::convolution_backward         0.01%       2.566ms         0.03%       5.220ms       1.305ms       2.007ms         1.27%       2.040ms     510.035us           0 B           0 B       2.88 MB     648.00 KB             4  [[1, 128, 8, 8], [1, 128, 18, 18], [128, 128, 3, 3], [], [], [], [], [], [], [],  
                             aten::convolution_backward         0.01%       2.557ms         0.03%       5.851ms       1.463ms       2.368ms         1.50%       2.399ms     599.743us           0 B           0 B       2.32 MB      72.00 KB             4  [[1, 128, 2, 2], [1, 128, 6, 6], [128, 128, 3, 3], [], [], [], [], [], [], [], [  
                             aten::convolution_backward         0.01%       2.474ms         0.03%       5.575ms       1.394ms       2.402ms         1.52%       2.434ms     608.519us           0 B           0 B       2.45 MB     200.00 KB             4  [[1, 128, 4, 4], [1, 128, 10, 10], [128, 128, 3, 3], [], [], [], [], [], [], [],  
                                  cudaStreamSynchronize         0.01%       2.455ms         0.01%       2.455ms      10.188us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           241                                                                                []  
                                            aten::fill_         0.01%       2.382ms         0.03%       6.117ms       9.866us       1.030ms         0.65%       1.031ms       1.663us           0 B           0 B           0 B           0 B           620                                                                          [[], []]  
                             cudaGetDeviceProperties_v2         0.01%       2.005ms         0.01%       2.005ms       1.002ms       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             2                                                                                []  
                                           Buffer Flush         0.01%       1.784ms         0.01%       1.784ms     891.896us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             2                                                                                []  
                                              aten::dot         0.01%       1.722ms         0.03%       4.774ms     795.604us     496.677us         0.32%     823.947us     137.324us           0 B           0 B       8.13 MB       8.12 MB             6                                                            [[2179147], [2179147]]  
                                               aten::lt         0.01%       1.717ms         0.04%       8.008ms      49.739us     369.157us         0.23%     369.157us       2.293us           0 B           0 B      80.50 KB      80.50 KB           161                                                                          [[], []]  
                                    CUDA_TRANSFER_MODEL         0.01%       1.715ms         0.09%      15.523ms      15.523ms       0.000us         0.00%     659.657us     659.657us      -8.32 MB      -8.32 MB       8.33 MB           0 B             1                                                                                []  
                                         cuLaunchKernel         0.01%       1.669ms         0.01%       1.669ms       8.516us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           196                                                                                []  
                                 aten::_index_put_impl_         0.01%       1.463ms         0.61%     108.668ms       6.792ms      23.010ms        14.60%      24.525ms       1.533ms           0 B           0 B           0 B      -3.56 MB            16                                  [[1, 128, 32, 32], [], [1, 128, 64, 64], [], []]  
autograd::engine::evaluate_function: ConvolutionBack...         0.01%       1.402ms         1.59%     283.303ms       2.724ms       0.000us         0.00%      70.589ms     678.744us           0 B           0 B       5.57 MB     -67.36 MB           104                                                                                []  
                                               aten::ge         0.01%       1.388ms         0.01%       2.207ms      13.794us     342.527us         0.22%     342.527us       2.141us           0 B           0 B      80.00 KB      80.00 KB           160                                                                          [[], []]  
autograd::engine::evaluate_function: UnsafeIndexBack...         0.01%       1.274ms         0.87%     155.541ms       1.944ms       0.000us         0.00%      38.843ms     485.541us           0 B           0 B     -40.00 MB     -50.66 MB            80                                                                                []  
                             aten::convolution_backward         0.01%       1.220ms         0.02%       2.906ms     726.571us       1.181ms         0.75%       1.211ms     302.675us           0 B           0 B      56.00 KB           0 B             4  [[1, 128, 32, 32], [1, 3, 66, 66], [128, 3, 3, 3], [], [], [], [], [], [], [], [  
                                 aten::_index_put_impl_         0.01%       1.061ms         0.05%       9.613ms     600.835us       5.551ms         3.52%       6.995ms     437.168us           0 B           0 B           0 B    -960.00 KB            16                                  [[1, 128, 16, 16], [], [1, 128, 32, 32], [], []]  
                                            aten::fill_         0.01%       1.052ms         0.01%       1.339ms      24.792us     182.048us         0.12%     182.048us       3.371us           0 B           0 B           0 B           0 B            54                                                            [[128, 128, 3, 3], []]  
                                 aten::_index_put_impl_         0.01%       1.030ms         0.05%       9.496ms     593.525us     228.228us         0.14%       1.552ms      97.023us           0 B           0 B           0 B    -120.00 KB            16                                      [[1, 128, 2, 2], [], [1, 128, 4, 4], [], []]  
                                 aten::_index_put_impl_         0.01%       1.012ms         0.05%       9.501ms     593.805us       1.560ms         0.99%       2.985ms     186.583us           0 B           0 B           0 B    -288.00 KB            16                                    [[1, 128, 8, 8], [], [1, 128, 16, 16], [], []]  
autograd::engine::evaluate_function: torch::autograd...         0.01%     945.334us         0.01%       2.024ms       8.160us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           248                                                                                []  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  
Self CPU time total: 17.796s
Self CUDA time total: 157.645ms


AUTOGRAD PROFILER - CUDA

-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls                                                                      Input Shapes  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  
