-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls                                                                      Input Shapes  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  
                                               BACKWARD        27.46%      96.581ms        27.50%      96.737ms      24.184ms       0.000us         0.00%      13.054us       3.264us         -64 B         -64 B     -56.59 MB     -56.59 MB             4                                                                                []  
                                       cudaLaunchKernel        11.82%      41.567ms        11.82%      41.567ms       5.539us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B          7505                                                                                []  
                             OUTPUT_SERIALIZATION_MODEL         7.33%      25.795ms         8.96%      31.501ms      31.501ms       0.000us         0.00%     484.743us     484.743us           0 B      -8.36 MB           0 B           0 B             1                                                                                []  
                                            DIP_FORWARD         4.19%      14.725ms        17.25%      60.683ms      15.171ms       0.000us         0.00%      10.867ms       2.717ms           0 B           0 B      89.50 MB    -140.44 MB             4                                                                                []  
                                            aten::empty         3.21%      11.280ms        10.97%      38.594ms      18.291us       0.000us         0.00%       3.314ms       1.571us       8.55 MB       8.55 MB     121.15 MB     121.15 MB          2110                                                          [[], [], [], [], [], []]  
                                        cudaMemcpyAsync         1.76%       6.185ms         1.76%       6.185ms      18.297us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           338                                                                                []  
                                            aten::fill_         1.59%       5.587ms         1.67%       5.866ms     108.636us     186.822us         0.27%     186.822us       3.460us           0 B           0 B           0 B           0 B            54                                                            [[128, 128, 3, 3], []]  
                                         aten::uniform_         1.53%       5.365ms         1.53%       5.365ms     596.090us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             9                                                    [[128, 128, 3, 3], [], [], []]  
                                            aten::fill_         1.52%       5.338ms         1.56%       5.489ms     182.981us     106.653us         0.15%     106.653us       3.555us           0 B           0 B           0 B           0 B            30                                                            [[128, 132, 3, 3], []]  
                                   MODEL_INITIALIZATION         1.39%       4.874ms         7.13%      25.079ms      25.079ms       0.000us         0.00%       0.000us       0.000us       8.32 MB           0 B           0 B           0 B             1                                                                                []  
                                  DIP_FORWARD_POST_STEP         1.03%       3.618ms         4.24%      14.930ms      14.930ms       0.000us         0.00%       2.585ms       2.585ms           0 B           0 B      22.33 MB     -34.72 MB             1                                                                                []  
                                               PLOTTING         1.02%       3.588ms         1.09%       3.821ms       3.821ms       0.000us         0.00%       0.000us       0.000us           0 B    -288.00 KB           0 B           0 B             1                                                                                []  
                                                METRICS         0.96%       3.366ms         1.05%       3.676ms       3.676ms       0.000us         0.00%      12.192us      12.192us           0 B    -144.00 KB           0 B           0 B             1                                                                                []  
                                         aten::uniform_         0.91%       3.200ms         0.91%       3.200ms     640.049us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             5                                                    [[128, 132, 3, 3], [], [], []]  
                              Optimizer.step#LBFGS.step         0.89%       3.119ms        48.43%     170.325ms      85.162ms       0.000us         0.00%      14.414ms       7.207ms           0 B           0 B      41.58 MB     -92.02 MB             2                                                                                []  
                                  cudaStreamSynchronize         0.77%       2.697ms         0.77%       2.697ms      11.193us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           241                                                                                []  
                                             cudaMalloc         0.75%       2.638ms         0.75%       2.638ms     146.582us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            18                                                                                []  
                                    aten::empty_strided         0.72%       2.516ms         2.17%       7.629ms      20.344us       0.000us         0.00%     556.288us       1.483us       8.69 MB       8.69 MB      20.21 MB      20.21 MB           375                                                          [[], [], [], [], [], []]  
                                          aten::resize_         0.65%       2.296ms         2.71%       9.517ms      35.912us       0.000us         0.00%       1.258ms       4.746us           0 B           0 B      92.42 MB      92.42 MB           265                                                                     [[0], [], []]  
                                            aten::fill_         0.65%       2.283ms         1.66%       5.834ms       9.410us       1.030ms         1.47%       1.030ms       1.662us           0 B           0 B           0 B           0 B           620                                                                          [[], []]  
                                    CUDA_TRANSFER_MODEL         0.49%       1.706ms         2.32%       8.155ms       8.155ms       0.000us         0.00%     645.481us     645.481us      -8.32 MB      -8.32 MB       8.33 MB           0 B             1                                                                                []  
                                               aten::lt         0.44%       1.561ms         0.69%       2.425ms      15.059us     366.149us         0.52%     366.149us       2.274us           0 B           0 B      80.50 KB      80.50 KB           161                                                                          [[], []]  
                                               aten::ge         0.38%       1.340ms         0.62%       2.178ms      13.615us     339.748us         0.49%     339.748us       2.123us           0 B           0 B      80.00 KB      80.00 KB           160                                                                          [[], []]  
autograd::engine::evaluate_function: ConvolutionBack...         0.33%       1.170ms         4.63%      16.272ms     156.459us       0.000us         0.00%       8.290ms      79.713us           0 B           0 B       5.52 MB     -67.42 MB           104                                                                                []  
autograd::engine::evaluate_function: UnsafeIndexBack...         0.33%       1.161ms        15.47%      54.407ms     680.082us       0.000us         0.00%      38.355ms     479.433us           0 B           0 B     -40.25 MB     -50.91 MB            80                                                                                []  
                                 aten::_index_put_impl_         0.33%       1.151ms         2.90%      10.199ms     637.407us      22.695ms        32.45%      24.186ms       1.512ms           0 B           0 B           0 B      -3.56 MB            16                                  [[1, 128, 32, 32], [], [1, 128, 64, 64], [], []]  
autograd::engine::evaluate_function: torch::autograd...         0.27%     961.833us         0.55%       1.918ms       7.734us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           248                                                                                []  
                                 aten::_index_put_impl_         0.26%     909.016us         2.56%       9.000ms     562.505us       1.537ms         2.20%       2.934ms     183.386us           0 B           0 B           0 B    -288.00 KB            16                                    [[1, 128, 8, 8], [], [1, 128, 16, 16], [], []]  
                                 aten::_index_put_impl_         0.26%     903.325us         2.57%       9.035ms     564.686us       5.460ms         7.81%       6.882ms     430.123us           0 B           0 B           0 B    -960.00 KB            16                                  [[1, 128, 16, 16], [], [1, 128, 32, 32], [], []]  
                                 aten::_index_put_impl_         0.25%     888.994us         2.54%       8.923ms     557.682us     236.224us         0.34%       1.601ms     100.040us           0 B           0 B           0 B    -120.00 KB            16                                      [[1, 128, 2, 2], [], [1, 128, 4, 4], [], []]  
                                    aten::_assert_async         0.25%     877.404us         0.67%       2.369ms       7.402us       1.244ms         1.78%       1.244ms       3.887us           0 B           0 B           0 B           0 B           320                                                                              [[]]  
                                 aten::_index_put_impl_         0.25%     869.717us         2.55%       8.980ms     561.258us     491.718us         0.70%       1.860ms     116.250us           0 B           0 B           0 B    -120.00 KB            16                                      [[1, 128, 4, 4], [], [1, 128, 8, 8], [], []]  
                                        cudaMemsetAsync         0.22%     772.320us         0.22%     772.320us       5.115us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           151                                                                                []  
                                           aten::arange         0.22%     770.510us         1.61%       5.680ms      43.693us     221.475us         0.32%     653.353us       5.026us           0 B           0 B     713.00 KB           0 B           130                                                                 [[], [], [], [0]]  
                                            aten::fill_         0.21%     743.447us         0.21%     743.447us       2.219us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           335                                                                         [[0], []]  
                                              aten::cat         0.20%     706.546us         0.30%       1.072ms      35.725us     590.917us         0.84%     590.917us      19.697us     144.00 KB     144.00 KB      46.99 MB      46.99 MB            30                                                                          [[], []]  
autograd::engine::evaluate_function: ReflectionPad2D...         0.20%     701.362us         1.47%       5.187ms      54.027us       0.000us         0.00%       2.796ms      29.123us           0 B           0 B     -15.27 MB     -53.34 MB            96                                                                                []  
                                         cuLaunchKernel         0.19%     673.288us         0.19%     673.288us       7.013us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            96                                                                                []  
                                       RUN_METHOD_TOTAL         0.18%     648.852us        74.73%     262.835ms     262.835ms       0.000us         0.00%      18.219ms      18.219ms           0 B     -48.00 KB           0 B     -16.70 MB             1                                                                                []  
autograd::engine::evaluate_function: LeakyReluBackwa...         0.18%     640.360us         0.73%       2.570ms      25.705us       0.000us         0.00%     414.409us       4.144us           0 B           0 B     -37.69 MB     -64.78 MB           100                                                                                []  
      autograd::engine::evaluate_function: SubBackward0         0.17%     594.975us         0.64%       2.238ms      31.077us       0.000us         0.00%     599.082us       8.321us           0 B           0 B      10.66 MB     -32.53 MB            72                                                                                []  
                                             aten::set_         0.17%     585.155us         0.17%     585.155us       2.208us       0.000us         0.00%       0.000us       0.000us           0 B           0 B    -132.50 KB    -132.50 KB           265                                                              [[], [], [], [], []]  
                                       LOSS_COMPUTATION         0.15%     524.843us         0.52%       1.814ms     453.614us       0.000us         0.00%     179.808us      44.952us          64 B          64 B     578.00 KB    -968.00 KB             4                                                                                []  
                                    cudaLaunchKernelExC         0.14%     505.149us         0.14%     505.149us       5.874us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            86                                                                                []  
                                           aten::arange         0.14%     484.951us         2.02%       7.101ms      54.625us       0.000us         0.00%     653.353us       5.026us           0 B           0 B     713.00 KB           0 B           130                                                              [[], [], [], [], []]  
                                         ADMM_DIP_TOTAL         0.14%     475.687us        65.17%     229.230ms     229.230ms       0.000us         0.00%      17.735ms      17.735ms           0 B     -48.00 KB      16.70 MB     -55.96 MB             1                                                                                []  
                                          aten::normal_         0.13%     461.850us         0.13%     461.850us     461.850us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             1                                                         [[3, 64, 64], [], [], []]  
                                aten::cudnn_convolution         0.13%     459.004us         0.21%     739.604us      73.960us     532.672us         0.76%     532.672us      53.267us           0 B           0 B       3.12 MB       3.12 MB            10                  [[1, 128, 34, 34], [128, 128, 3, 3], [], [], [], [], [], [], []]  
                                            aten::index         0.13%     449.554us         0.65%       2.273ms     113.645us     273.632us         0.39%     441.220us      22.061us           0 B           0 B      10.00 MB       9.69 MB            20                                                            [[1, 128, 16, 16], []]  
                                            aten::slice         0.13%     443.034us         0.15%     534.927us       4.314us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           124                                                       [[2179147], [], [], [], []]  
                                            aten::index         0.12%     437.712us         0.59%       2.086ms     104.319us     141.057us         0.20%     307.714us      15.386us           0 B           0 B       2.50 MB       2.42 MB            20                                                              [[1, 128, 8, 8], []]  
                                            aten::index         0.12%     437.202us         0.61%       2.143ms     107.128us     121.278us         0.17%     280.345us      14.017us           0 B           0 B     160.00 KB     140.00 KB            20                                                              [[1, 128, 2, 2], []]  
                              aten::_local_scalar_dense         0.12%     436.838us         0.67%       2.356ms      30.208us     138.242us         0.20%     138.242us       1.772us           0 B           0 B           0 B           0 B            78                                                                              [[]]  
                                            aten::index         0.12%     436.739us         0.59%       2.089ms     104.470us     124.032us         0.18%     280.105us      14.005us           0 B           0 B     640.00 KB     620.00 KB            20                                                              [[1, 128, 4, 4], []]  
                                            aten::index         0.12%     434.073us         0.59%       2.079ms     103.939us     823.499us         1.18%     997.736us      49.887us           0 B           0 B      40.00 MB      38.75 MB            20                                                            [[1, 128, 32, 32], []]  
                                            aten::fill_         0.11%     398.880us         0.27%     964.571us       6.652us     195.586us         0.28%     195.586us       1.349us           0 B           0 B           0 B           0 B           145                                                                       [[132], []]  
                                      INPUT_PREPARATION         0.11%     395.993us         0.16%     552.621us     552.621us       0.000us         0.00%       0.000us       0.000us           0 B          -5 B           0 B           0 B             1                                                                                []  
                                aten::cudnn_convolution         0.11%     391.685us         0.18%     626.791us      62.679us     339.687us         0.49%     339.687us      33.969us           0 B           0 B     800.00 KB     800.00 KB            10                  [[1, 128, 18, 18], [128, 128, 3, 3], [], [], [], [], [], [], []]  
                                              aten::max         0.11%     390.500us         0.55%       1.950ms      60.937us     162.051us         0.23%     363.175us      11.349us           0 B           0 B      16.00 KB      -1.00 MB            32                                                                        [[64, 64]]  
                                              aten::max         0.11%     388.001us         0.56%       1.962ms      61.309us     134.335us         0.19%     318.821us       9.963us           0 B           0 B      16.00 KB     -16.00 KB            32                                                                          [[4, 4]]  
                                aten::cudnn_convolution         0.11%     381.727us         0.17%     589.322us      58.932us     299.361us         0.43%     299.361us      29.936us           0 B           0 B     200.00 KB     200.00 KB            10                  [[1, 128, 10, 10], [128, 128, 3, 3], [], [], [], [], [], [], []]  
                                              aten::max         0.11%     380.324us         0.56%       1.969ms      61.546us     136.452us         0.20%     320.429us      10.013us           0 B           0 B      16.00 KB     -16.00 KB            32                                                                          [[8, 8]]  
                                              aten::max         0.11%     373.220us         0.55%       1.938ms      60.552us     126.626us         0.18%     322.054us      10.064us           0 B           0 B      16.00 KB     -64.00 KB            32                                                                        [[16, 16]]  
                                              aten::max         0.11%     370.215us         0.56%       1.965ms      61.408us     138.014us         0.20%     331.648us      10.364us           0 B           0 B      16.00 KB    -256.00 KB            32                                                                        [[32, 32]]  
      autograd::engine::evaluate_function: MulBackward0         0.11%     369.326us         0.49%       1.732ms      25.469us       0.000us         0.00%     500.357us       7.358us         -64 B         -64 B      32.20 MB     -20.00 KB            68                                                                                []  
                                aten::cudnn_convolution         0.10%     365.541us         0.16%     573.204us      57.320us     308.422us         0.44%     308.422us      30.842us           0 B           0 B      50.00 KB      50.00 KB            10                    [[1, 128, 6, 6], [128, 128, 3, 3], [], [], [], [], [], [], []]  
                                             aten::add_         0.10%     364.410us         0.17%     590.445us      17.892us      71.011us         0.10%      71.011us       2.152us           0 B           0 B           0 B           0 B            33                                                                      [[], [], []]  
                                        aten::remainder         0.10%     359.887us         0.15%     531.034us      16.595us      98.183us         0.14%      98.183us       3.068us           0 B           0 B       1.00 MB       1.00 MB            32                                                                    [[64, 64], []]  
                                              aten::min         0.10%     356.041us         0.52%       1.839ms      57.470us     154.725us         0.22%     346.629us      10.832us           0 B           0 B      16.00 KB      -1.00 MB            32                                                                        [[64, 64]]  
                                              aten::min         0.10%     350.443us         0.51%       1.788ms      55.889us     126.019us         0.18%     304.328us       9.510us           0 B           0 B      16.00 KB     -16.00 KB            32                                                                          [[4, 4]]  
                                         aten::uniform_         0.10%     350.243us         0.10%     350.243us      70.049us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             5                                                    [[128, 128, 1, 1], [], [], []]  
                                Activity Buffer Request         0.10%     349.238us         0.10%     349.238us     349.238us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             1                                                                                []  
      autograd::engine::evaluate_function: AddBackward0         0.10%     346.184us         0.11%     403.058us       5.927us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            68                                                                                []  
                                            aten::copy_         0.10%     345.310us         0.19%     667.407us      10.428us     166.726us         0.24%     166.726us       2.605us           0 B           0 B           0 B           0 B            64                                                          [[32, 32], [32, 32], []]  
                                          LBFGS_CLOSURE         0.10%     344.897us        45.60%     160.398ms      40.100ms       0.000us         0.00%      11.087ms       2.772ms           0 B           0 B       8.89 MB           0 B             4                                                                                []  
                                              aten::mul         0.10%     339.556us         0.15%     519.434us      16.232us      65.313us         0.09%      65.313us       2.041us           0 B           0 B       1.00 MB       1.00 MB            32                                                                    [[64, 64], []]  
                                            aten::copy_         0.10%     338.502us         0.19%     682.919us      10.671us     149.796us         0.21%     149.796us       2.341us           0 B           0 B           0 B           0 B            64                                                              [[4, 4], [4, 4], []]  
                                              aten::min         0.10%     337.623us         0.51%       1.809ms      56.527us     128.485us         0.18%     306.342us       9.573us           0 B           0 B      16.00 KB     -16.00 KB            32                                                                          [[8, 8]]  
                                              aten::min         0.10%     336.210us         0.51%       1.801ms      56.278us     133.986us         0.19%     322.342us      10.073us           0 B           0 B      16.00 KB    -256.00 KB            32                                                                        [[32, 32]]  
                                              aten::min         0.10%     334.524us         0.51%       1.785ms      55.784us     122.882us         0.18%     311.753us       9.742us           0 B           0 B      16.00 KB     -64.00 KB            32                                                                        [[16, 16]]  
                                            aten::copy_         0.09%     333.716us         0.19%     653.030us      10.204us     177.093us         0.25%     177.093us       2.767us           0 B           0 B           0 B           0 B            64                                                          [[64, 64], [64, 64], []]  
                             aten::convolution_backward         0.09%     332.724us         0.18%     622.617us     155.654us     140.611us         0.20%     168.867us      42.217us           0 B           0 B       8.01 MB       8.00 MB             4  [[1, 3, 64, 64], [1, 128, 64, 64], [3, 128, 1, 1], [], [], [], [], [], [], [], [  
                               OPTIMIZER_INITIALIZATION         0.09%     329.820us         0.09%     329.820us     329.820us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             1                                                                                []  
                    Optimizer.zero_grad#LBFGS.zero_grad         0.09%     328.333us         0.09%     328.333us      82.083us       0.000us         0.00%       0.000us       0.000us           0 B           0 B     -24.96 MB     -24.96 MB             4                                                                                []  
                                        aten::remainder         0.09%     325.482us         0.14%     492.112us      15.379us      93.694us         0.13%      93.694us       2.928us           0 B           0 B     256.00 KB     256.00 KB            32                                                                    [[32, 32], []]  
                                              aten::pow         0.09%     325.043us         0.18%     641.247us      26.719us      23.936us         0.03%      48.866us       2.036us           0 B           0 B       1.12 MB       1.12 MB            24                                                              [[1, 3, 64, 64], []]  
                                        aten::remainder         0.09%     323.568us         0.14%     489.623us      15.301us      80.704us         0.12%      80.704us       2.522us           0 B           0 B      16.00 KB      16.00 KB            32                                                                      [[4, 4], []]  
                                            aten::copy_         0.09%     322.643us         0.18%     640.518us      10.008us     148.576us         0.21%     148.576us       2.322us           0 B           0 B           0 B           0 B            64                                                              [[8, 8], [8, 8], []]  
                                            aten::copy_         0.09%     322.230us         0.18%     637.568us       9.962us     169.762us         0.24%     169.762us       2.653us           0 B           0 B           0 B           0 B            64                                                          [[16, 16], [16, 16], []]  
                                  cudaFuncGetAttributes         0.09%     321.820us         0.09%     321.820us       3.831us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            84                                                                                []  
                                             aten::view         0.09%     320.750us         0.09%     320.750us       1.458us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           220                                                                       [[128], []]  
                                        aten::remainder         0.09%     317.308us         0.14%     484.828us      15.151us      95.266us         0.14%      95.266us       2.977us           0 B           0 B      64.00 KB      64.00 KB            32                                                                    [[16, 16], []]  
                               CPU_GPU_TRANSFER_METRICS         0.09%     313.770us         0.13%     457.548us     457.548us       0.000us         0.00%       7.040us       7.040us           0 B     -96.00 KB           0 B           0 B             1                                                                                []  
                                        aten::remainder         0.09%     308.713us         0.13%     474.783us      14.837us      80.386us         0.11%      80.386us       2.512us           0 B           0 B      16.00 KB      16.00 KB            32                                                                      [[8, 8], []]  
                                            aten::fill_         0.09%     303.544us         0.21%     729.038us       9.113us     301.952us         0.43%     301.952us       3.774us           0 B           0 B           0 B           0 B            80                                                            [[1, 128, 32, 32], []]  
                             aten::convolution_backward         0.09%     302.906us         0.21%     734.384us     183.596us       1.982ms         2.83%       2.097ms     524.180us           0 B           0 B      11.10 MB       8.78 MB             4  [[1, 128, 64, 64], [1, 132, 66, 66], [128, 132, 3, 3], [], [], [], [], [], [], [  
                                              aten::mul         0.09%     302.691us         0.13%     472.044us      14.751us      65.923us         0.09%      65.923us       2.060us           0 B           0 B      16.00 KB      16.00 KB            32                                                                      [[8, 8], []]  
                                              aten::mul         0.09%     300.037us         0.13%     469.499us      14.672us      64.804us         0.09%      64.804us       2.025us           0 B           0 B     256.00 KB     256.00 KB            32                                                                    [[32, 32], []]  
                             aten::convolution_backward         0.08%     298.835us         0.16%     557.493us     139.373us     126.978us         0.18%     160.643us      40.161us           0 B           0 B       2.25 MB       2.00 MB             4  [[1, 128, 32, 32], [1, 128, 32, 32], [128, 128, 1, 1], [], [], [], [], [], [], [  
                                              aten::mul         0.08%     293.460us         0.13%     450.511us      14.078us      66.620us         0.10%      66.620us       2.082us           0 B           0 B      64.00 KB      64.00 KB            32                                                                    [[16, 16], []]  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  
Self CPU time total: 351.723ms
Self CUDA time total: 69.936ms
