-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls                                                                      Input Shapes  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  
                              Optimizer.step#LBFGS.step         0.00%       0.000us         0.00%       0.000us       0.000us      88.576ms       126.65%      88.576ms      44.288ms           0 B           0 B           0 B           0 B             2                                                                                []  
                                            DIP_FORWARD         0.00%       0.000us         0.00%       0.000us       0.000us      60.198ms        86.08%      60.198ms      15.049ms           0 B           0 B           0 B           0 B             4                                                                                []  
void (anonymous namespace)::indexing_backward_kernel...         0.00%       0.000us         0.00%       0.000us       0.000us      29.239ms        41.81%      29.239ms     365.484us           0 B           0 B           0 B           0 B            80                                                                                []  
                                 aten::_index_put_impl_         0.33%       1.151ms         2.90%      10.199ms     637.407us      22.695ms        32.45%      24.186ms       1.512ms           0 B           0 B           0 B      -3.56 MB            16                                  [[1, 128, 32, 32], [], [1, 128, 64, 64], [], []]  
                             OUTPUT_SERIALIZATION_MODEL         0.00%       0.000us         0.00%       0.000us       0.000us      22.450ms        32.10%      22.450ms      22.450ms           0 B           0 B           0 B           0 B             1                                                                                []  
                                   ADMM_OUTER_ITERATION         0.00%       0.000us         0.00%       0.000us       0.000us      19.582ms        28.00%      19.582ms      19.582ms           0 B           0 B           0 B           0 B             1                                                                                []  
                                  DIP_FORWARD_POST_STEP         0.00%       0.000us         0.00%       0.000us       0.000us      14.803ms        21.17%      14.803ms      14.803ms           0 B           0 B           0 B           0 B             1                                                                                []  
                                    CUDA_TRANSFER_MODEL         0.00%       0.000us         0.00%       0.000us       0.000us       7.136ms        10.20%       7.136ms       7.136ms           0 B           0 B           0 B           0 B             1                                                                                []  
                                 aten::_index_put_impl_         0.26%     903.325us         2.57%       9.035ms     564.686us       5.460ms         7.81%       6.882ms     430.123us           0 B           0 B           0 B    -960.00 KB            16                                  [[1, 128, 16, 16], [], [1, 128, 32, 32], [], []]  
                                                METRICS         0.00%       0.000us         0.00%       0.000us       0.000us       3.575ms         5.11%       3.575ms       3.575ms           0 B           0 B           0 B           0 B             1                                                                                []  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.974ms         4.25%       2.974ms       2.679us           0 B           0 B           0 B           0 B          1110                                                                                []  
void cudnn::engines_precompiled::nchwToNhwcKernel<fl...         0.00%       0.000us         0.00%       0.000us       0.000us       2.539ms         3.63%       2.539ms       8.757us           0 B           0 B           0 B           0 B           290                                                                                []  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.325ms         3.32%       2.325ms       5.358us           0 B           0 B           0 B           0 B           434                                                                                []  
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.196ms         3.14%       2.196ms       1.670us           0 B           0 B           0 B           0 B          1315                                                                                []  
void at::native::(anonymous namespace)::reflection_p...         0.00%       0.000us         0.00%       0.000us       0.000us       2.135ms         3.05%       2.135ms      22.237us           0 B           0 B           0 B           0 B            96                                                                                []  
                             aten::convolution_backward         0.09%     302.906us         0.21%     734.384us     183.596us       1.982ms         2.83%       2.097ms     524.180us           0 B           0 B      11.10 MB       8.78 MB             4  [[1, 128, 64, 64], [1, 132, 66, 66], [128, 132, 3, 3], [], [], [], [], [], [], [  
                                       LOSS_COMPUTATION         0.00%       0.000us         0.00%       0.000us       0.000us       1.603ms         2.29%       1.603ms     400.820us           0 B           0 B           0 B           0 B             4                                                                                []  
                                 aten::_index_put_impl_         0.26%     909.016us         2.56%       9.000ms     562.505us       1.537ms         2.20%       2.934ms     183.386us           0 B           0 B           0 B    -288.00 KB            16                                    [[1, 128, 8, 8], [], [1, 128, 16, 16], [], []]  
void at::native::(anonymous namespace)::reflection_p...         0.00%       0.000us         0.00%       0.000us       0.000us       1.535ms         2.20%       1.535ms      11.810us           0 B           0 B           0 B           0 B           130                                                                                []  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.483ms         2.12%       1.483ms      14.835us           0 B           0 B           0 B           0 B           100                                                                                []  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       1.304ms         1.86%       1.304ms       2.507us           0 B           0 B           0 B           0 B           520                                                                                []  
                                    aten::_assert_async         0.25%     877.404us         0.67%       2.369ms       7.402us       1.244ms         1.78%       1.244ms       3.887us           0 B           0 B           0 B           0 B           320                                                                              [[]]  
void at::native::_assert_async_cuda_kernel<bool>(boo...         0.00%       0.000us         0.00%       0.000us       0.000us       1.244ms         1.78%       1.244ms       3.887us           0 B           0 B           0 B           0 B           320                                                                                []  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       1.228ms         1.76%       1.228ms       8.241us           0 B           0 B           0 B           0 B           149                                                                                []  
                                            aten::fill_         0.65%       2.283ms         1.66%       5.834ms       9.410us       1.030ms         1.47%       1.030ms       1.662us           0 B           0 B           0 B           0 B           620                                                                          [[], []]  
void cutlass__5x_cudnn::Kernel<cutlass_tensorop_s168...         0.00%       0.000us         0.00%       0.000us       0.000us     904.811us         1.29%     904.811us     113.101us           0 B           0 B           0 B           0 B             8                                                                                []  
                                aten::cudnn_convolution         0.06%     217.369us         0.10%     346.090us      69.218us     860.136us         1.23%     860.136us     172.027us           0 B           0 B      10.00 MB      10.00 MB             5                  [[1, 132, 66, 66], [128, 132, 3, 3], [], [], [], [], [], [], []]  
                                            aten::index         0.12%     434.073us         0.59%       2.079ms     103.939us     823.499us         1.18%     997.736us      49.887us           0 B           0 B      40.00 MB      38.75 MB            20                                                            [[1, 128, 32, 32], []]  
void cudnn::engines_precompiled::nhwcToNchwKernel<fl...         0.00%       0.000us         0.00%       0.000us       0.000us     810.406us         1.16%     810.406us       7.718us           0 B           0 B           0 B           0 B           105                                                                                []  
                             aten::convolution_backward         0.08%     268.910us         0.18%     627.199us     156.800us     770.631us         1.10%     812.935us     203.234us           0 B           0 B       4.65 MB       2.33 MB             4  [[1, 128, 32, 32], [1, 132, 34, 34], [128, 132, 3, 3], [], [], [], [], [], [], [  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     741.098us         1.06%     741.098us       6.334us           0 B           0 B           0 B           0 B           117                                                                                []  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     703.817us         1.01%     703.817us       2.199us           0 B           0 B           0 B           0 B           320                                                                                []  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     697.478us         1.00%     697.478us       4.359us           0 B           0 B           0 B           0 B           160                                                                                []  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     669.544us         0.96%     669.544us       4.715us           0 B           0 B           0 B           0 B           142                                                                                []  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     666.097us         0.95%     666.097us       4.163us           0 B           0 B           0 B           0 B           160                                                                                []  
sm80_xmma_wgrad_implicit_gemm_indexed_tf32f32_tf32f3...         0.00%       0.000us         0.00%       0.000us       0.000us     630.919us         0.90%     630.919us     157.730us           0 B           0 B           0 B           0 B             4                                                                                []  
void cutlass__5x_cudnn::Kernel<cutlass_tensorop_s168...         0.00%       0.000us         0.00%       0.000us       0.000us     623.910us         0.89%     623.910us     124.782us           0 B           0 B           0 B           0 B             5                                                                                []  
                                              aten::cat         0.20%     706.546us         0.30%       1.072ms      35.725us     590.917us         0.84%     590.917us      19.697us     144.00 KB     144.00 KB      46.99 MB      46.99 MB            30                                                                          [[], []]  
                             aten::convolution_backward         0.08%     275.100us         0.18%     626.278us     156.569us     578.692us         0.83%     620.581us     155.145us           0 B           0 B       4.51 MB       2.26 MB             4  [[1, 128, 32, 32], [1, 128, 34, 34], [128, 128, 3, 3], [], [], [], [], [], [], [  
void cutlass__5x_cudnn::Kernel<cutlass_tensorop_s168...         0.00%       0.000us         0.00%       0.000us       0.000us     543.718us         0.78%     543.718us      45.310us           0 B           0 B           0 B           0 B            12                                                                                []  
                                aten::cudnn_convolution         0.13%     459.004us         0.21%     739.604us      73.960us     532.672us         0.76%     532.672us      53.267us           0 B           0 B       3.12 MB       3.12 MB            10                  [[1, 128, 34, 34], [128, 128, 3, 3], [], [], [], [], [], [], []]  
                        aten::reflection_pad2d_backward         0.01%      47.373us         0.10%     359.474us      44.934us     531.684us         0.76%     690.983us      86.373us           0 B           0 B      16.06 MB           0 B             8                                          [[1, 128, 64, 64], [1, 128, 64, 64], []]  
void cudnn::cnn::wgrad_alg1_engine<float, float, 128...         0.00%       0.000us         0.00%       0.000us       0.000us     518.754us         0.74%     518.754us      18.527us           0 B           0 B           0 B           0 B            28                                                                                []  
                       Memcpy DtoH (Device -> Pageable)         0.00%       0.000us         0.00%       0.000us       0.000us     505.638us         0.72%     505.638us       6.019us           0 B           0 B           0 B           0 B            84                                                                                []  
                                 aten::reflection_pad2d         0.03%     112.765us         0.17%     606.570us      60.657us     500.038us         0.71%     615.237us      61.524us           0 B           0 B      20.06 MB           0 B            10                                                            [[1, 128, 64, 64], []]  
                                              aten::dot         0.03%      99.547us         0.08%     287.246us      47.874us     497.669us         0.71%     509.704us      84.951us           0 B           0 B       3.00 KB           0 B             6                                                            [[2179147], [2179147]]  
void cutlass__5x_cudnn::Kernel<cutlass_tensorop_s168...         0.00%       0.000us         0.00%       0.000us       0.000us     497.445us         0.71%     497.445us      49.744us           0 B           0 B           0 B           0 B            10                                                                                []  
                                 aten::_index_put_impl_         0.25%     869.717us         2.55%       8.980ms     561.258us     491.718us         0.70%       1.860ms     116.250us           0 B           0 B           0 B    -120.00 KB            16                                      [[1, 128, 4, 4], [], [1, 128, 8, 8], [], []]  
                       Memcpy HtoD (Pageable -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     489.540us         0.70%     489.540us       6.197us           0 B           0 B           0 B           0 B            79                                                                                []  
void cudnn::bn_bw_1C11_singleread<float, 512, true, ...         0.00%       0.000us         0.00%       0.000us       0.000us     488.805us         0.70%     488.805us      24.440us           0 B           0 B           0 B           0 B            20                                                                                []  
void dot_kernel<float, 128, 0, cublasDotParams<cubla...         0.00%       0.000us         0.00%       0.000us       0.000us     477.572us         0.68%     477.572us      79.595us           0 B           0 B           0 B           0 B             6                                                                                []  
void at_cuda_detail::cub::DeviceRadixSortSingleTileK...         0.00%       0.000us         0.00%       0.000us       0.000us     472.708us         0.68%     472.708us       7.386us           0 B           0 B           0 B           0 B            64                                                                                []  
void at_cuda_detail::cub::DeviceRadixSortOnesweepKer...         0.00%       0.000us         0.00%       0.000us       0.000us     470.981us         0.67%     470.981us       9.812us           0 B           0 B           0 B           0 B            48                                                                                []  
void cudnn::bn_fw_tr_1C11_singleread<float, 512, tru...         0.00%       0.000us         0.00%       0.000us       0.000us     460.678us         0.66%     460.678us      18.427us           0 B           0 B           0 B           0 B            25                                                                                []  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     448.233us         0.64%     448.233us       2.801us           0 B           0 B           0 B           0 B           160                                                                                []  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us     445.509us         0.64%     445.509us     111.377us           0 B           0 B           0 B           0 B             4                                                                                []  
sm80_xmma_fprop_implicit_gemm_tf32f32_tf32f32_f32_nh...         0.00%       0.000us         0.00%       0.000us       0.000us     437.479us         0.63%     437.479us      14.583us           0 B           0 B           0 B           0 B            30                                                                                []  
                                aten::cudnn_convolution         0.07%     240.508us         0.10%     367.248us      73.450us     415.076us         0.59%     415.076us      83.015us           0 B           0 B       2.50 MB       2.50 MB             5                  [[1, 132, 34, 34], [128, 132, 3, 3], [], [], [], [], [], [], []]  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     414.409us         0.59%     414.409us       4.144us           0 B           0 B           0 B           0 B           100                                                                                []  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     409.061us         0.58%     409.061us       4.217us           0 B           0 B           0 B           0 B            97                                                                                []  
void cutlass__5x_cudnn::Kernel<cutlass_tensorop_s168...         0.00%       0.000us         0.00%       0.000us       0.000us     407.141us         0.58%     407.141us      50.893us           0 B           0 B           0 B           0 B             8                                                                                []  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     397.196us         0.57%     397.196us       6.305us           0 B           0 B           0 B           0 B            63                                                                                []  
                             aten::convolution_backward         0.08%     279.028us         0.18%     650.258us     162.565us     391.236us         0.56%     427.939us     106.985us           0 B           0 B       2.98 MB     670.00 KB             4  [[1, 128, 16, 16], [1, 132, 18, 18], [128, 132, 3, 3], [], [], [], [], [], [], [  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     391.076us         0.56%     391.076us       3.129us           0 B           0 B           0 B           0 B           125                                                                                []  
                                              aten::mul         0.05%     191.632us         0.12%     415.270us      23.071us     387.235us         0.55%     387.235us      21.513us           0 B           0 B      36.56 MB      36.56 MB            18                                                          [[1, 128, 64, 64], [64]]  
                                              aten::abs         0.01%      49.592us         0.12%     409.851us      81.970us     382.019us         0.55%     571.910us     114.382us           0 B           0 B      41.56 MB           0 B             5                                                                  [[2179147], [0]]  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     382.019us         0.55%     382.019us      76.404us           0 B           0 B           0 B           0 B             5                                                                                []  
                                    ADMM_INITIALIZATION         0.00%       0.000us         0.00%       0.000us       0.000us     374.244us         0.54%     374.244us     374.244us           0 B           0 B           0 B           0 B             1                                                                                []  
                                              aten::sub         0.05%     159.078us         0.11%     369.600us      24.640us     373.155us         0.53%     373.155us      24.877us           0 B           0 B      30.63 MB      30.63 MB            15                                          [[1, 128, 64, 64], [1, 128, 64, 64], []]  
                                               aten::lt         0.44%       1.561ms         0.69%       2.425ms      15.059us     366.149us         0.52%     366.149us       2.274us           0 B           0 B      80.50 KB      80.50 KB           161                                                                          [[], []]  
                             aten::convolution_backward         0.08%     291.684us         0.25%     879.299us     219.825us     364.806us         0.52%     401.222us     100.305us           0 B           0 B       4.51 MB       2.26 MB             4  [[1, 128, 16, 16], [1, 128, 34, 34], [128, 128, 3, 3], [], [], [], [], [], [], [  
sm80_xmma_dgrad_implicit_gemm_tf32f32_tf32f32_f32_nh...         0.00%       0.000us         0.00%       0.000us       0.000us     345.094us         0.49%     345.094us      17.255us           0 B           0 B           0 B           0 B            20                                                                                []  
                                               aten::ge         0.38%       1.340ms         0.62%       2.178ms      13.615us     339.748us         0.49%     339.748us       2.123us           0 B           0 B      80.00 KB      80.00 KB           160                                                                          [[], []]  
                                aten::cudnn_convolution         0.11%     391.685us         0.18%     626.791us      62.679us     339.687us         0.49%     339.687us      33.969us           0 B           0 B     800.00 KB     800.00 KB            10                  [[1, 128, 18, 18], [128, 128, 3, 3], [], [], [], [], [], [], []]  
                             aten::convolution_backward         0.07%     262.717us         0.18%     624.971us     156.243us     338.947us         0.48%     374.627us      93.657us           0 B           0 B       2.88 MB     648.00 KB             4  [[1, 128, 16, 16], [1, 128, 18, 18], [128, 128, 3, 3], [], [], [], [], [], [], [  
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us     327.971us         0.47%     327.971us       2.050us           0 B           0 B           0 B           0 B           160                                                                                []  
                        aten::reflection_pad2d_backward         0.01%      20.639us         0.05%     167.396us      41.849us     323.844us         0.46%     404.903us     101.226us           0 B           0 B       8.64 MB           0 B             4                                          [[1, 132, 66, 66], [1, 132, 64, 64], []]  
                                              aten::add         0.05%     178.993us         0.08%     286.682us      15.089us     317.920us         0.45%     317.920us      16.733us           0 B           0 B      38.63 MB      38.63 MB            19                                          [[1, 128, 64, 64], [1, 128, 64, 64], []]  
                                aten::cudnn_convolution         0.10%     365.541us         0.16%     573.204us      57.320us     308.422us         0.44%     308.422us      30.842us           0 B           0 B      50.00 KB      50.00 KB            10                    [[1, 128, 6, 6], [128, 128, 3, 3], [], [], [], [], [], [], []]  
                                 aten::reflection_pad2d         0.07%     232.172us         0.42%       1.475ms      73.747us     308.418us         0.44%     420.673us      21.034us           0 B           0 B      10.64 MB           0 B            20                                                            [[1, 128, 32, 32], []]  
                                            aten::fill_         0.09%     303.544us         0.21%     729.038us       9.113us     301.952us         0.43%     301.952us       3.774us           0 B           0 B           0 B           0 B            80                                                            [[1, 128, 32, 32], []]  
                                aten::cudnn_convolution         0.11%     381.727us         0.17%     589.322us      58.932us     299.361us         0.43%     299.361us      29.936us           0 B           0 B     200.00 KB     200.00 KB            10                  [[1, 128, 10, 10], [128, 128, 3, 3], [], [], [], [], [], [], []]  
                                        Memset (Device)         0.00%       0.000us         0.00%       0.000us       0.000us     282.269us         0.40%     282.269us       1.974us           0 B           0 B           0 B           0 B           143                                                                                []  
                                 aten::reflection_pad2d         0.02%      56.280us         0.09%     309.435us      61.887us     279.907us         0.40%     341.379us      68.276us           0 B           0 B      10.97 MB           0 B             5                                                            [[1, 132, 64, 64], []]  
                             aten::convolution_backward         0.08%     285.089us         0.18%     628.375us     157.094us     279.525us         0.40%     314.694us      78.674us           0 B           0 B       2.53 MB     208.00 KB             4  [[1, 128, 8, 8], [1, 132, 10, 10], [128, 132, 3, 3], [], [], [], [], [], [], [],  
                                            aten::index         0.13%     449.554us         0.65%       2.273ms     113.645us     273.632us         0.39%     441.220us      22.061us           0 B           0 B      10.00 MB       9.69 MB            20                                                            [[1, 128, 16, 16], []]  
                             aten::convolution_backward         0.08%     276.083us         0.19%     678.216us     169.554us     267.522us         0.38%     342.275us      85.569us           0 B           0 B       8.25 MB       8.00 MB             4  [[1, 128, 64, 64], [1, 128, 64, 64], [128, 128, 1, 1], [], [], [], [], [], [], [  
                             aten::convolution_backward         0.07%     235.574us         0.15%     524.138us     131.034us     258.818us         0.37%     293.571us      73.393us           0 B           0 B       2.88 MB     648.00 KB             4  [[1, 128, 8, 8], [1, 128, 18, 18], [128, 128, 3, 3], [], [], [], [], [], [], [],  
                             aten::convolution_backward         0.07%     254.922us         0.20%     696.641us     174.160us     252.963us         0.36%     286.627us      71.657us           0 B           0 B       2.45 MB     200.00 KB             4  [[1, 128, 8, 8], [1, 128, 10, 10], [128, 128, 3, 3], [], [], [], [], [], [], [],  
                               CPU_GPU_TRANSFER_METRICS         0.00%       0.000us         0.00%       0.000us       0.000us     248.771us         0.36%     248.771us     248.771us           0 B           0 B           0 B           0 B             1                                                                                []  
                                aten::cudnn_convolution         0.05%     175.304us         0.07%     251.099us      50.220us     248.326us         0.36%     248.326us      49.665us           0 B           0 B     640.00 KB     640.00 KB             5                  [[1, 132, 18, 18], [128, 132, 3, 3], [], [], [], [], [], [], []]  
                                              aten::max         0.02%      79.992us         0.06%     199.018us      49.754us     246.878us         0.35%     255.966us      63.991us           0 B           0 B       2.00 KB           0 B             4                                                                       [[2179147]]  
                        aten::reflection_pad2d_backward         0.01%      40.717us         0.09%     329.404us      41.176us     243.780us         0.35%     304.035us      38.004us           0 B           0 B       4.00 MB           0 B             8                                          [[1, 128, 34, 34], [1, 128, 32, 32], []]  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     241.856us         0.35%     241.856us      60.464us           0 B           0 B           0 B           0 B             4                                                                                []  
                                            aten::copy_         0.02%      59.265us         0.27%     934.614us     103.846us     238.723us         0.34%     238.723us      26.525us           0 B           0 B           0 B           0 B             9                                          [[128, 128, 3, 3], [128, 128, 3, 3], []]  
                                 aten::_index_put_impl_         0.25%     888.994us         2.54%       8.923ms     557.682us     236.224us         0.34%       1.601ms     100.040us           0 B           0 B           0 B    -120.00 KB            16                                      [[1, 128, 2, 2], [], [1, 128, 4, 4], [], []]  
void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_...         0.00%       0.000us         0.00%       0.000us       0.000us     232.994us         0.33%     232.994us      15.533us           0 B           0 B           0 B           0 B            15                                                                                []  
                             aten::convolution_backward         0.08%     270.016us         0.17%     589.306us     147.326us     231.648us         0.33%     264.767us      66.192us           0 B           0 B       2.40 MB      76.00 KB             4  [[1, 128, 4, 4], [1, 132, 6, 6], [128, 132, 3, 3], [], [], [], [], [], [], [], [  
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us     223.201us         0.32%     223.201us       2.790us           0 B           0 B           0 B           0 B            80                                                                                []  
                                            aten::copy_         0.02%      80.339us         0.36%       1.278ms     142.030us     222.118us         0.32%     222.118us      24.680us           0 B           0 B           0 B           0 B             9                                                          [[589824], [589824], []]  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  
Self CPU time total: 351.723ms
Self CUDA time total: 69.936ms
